amazon_sku,channel_id, linnworks_code,price_uk, sale_price_uk,,,,,,,,
MFDUALL9/4.5SB,3,MFDUALL9/4.5S,,,,,,,,,,
MFDUALL9/4.5SB_FBA,1,MFDUALL9/4.5S,69.99,44.99,,,,,,,,
MFDUALL9/4.5SKB,1,MFDUALL9/4.5SK,99.99,74.99,,,,,,,,
MFDUALL9/4.5SKB,3,MFDUALL9/4.5SK,,,,,,,,,,
MFDUALL9/4.5SKB_FBA,1,MFDUALL9/4.5SK,99.99,79.99,,,,,,,,
MFDUALL9/4.5S_FBA,1,MFDUALL9/4.5S,69.99,44.99,,,,,,,,
WOOLDUV200D,1,WOOLDUV200D,89.99,49.99,,,,,,,,
WOOLDUV200D-FBA1,1,WOOLDUV200D,89.99,54.9,,,,,,,,
WOOLDUV200K,1,WOOLDUV200K,109.99,59.99,,,,,,,,
WOOLDUV200K-FBA1,1,WOOLDUV200K,109.99,64.9,,,,,,,,
WOOLDUV200S,1,WOOLDUV200S,79.99,39.99,,,,,,,,
WOOLDUV200S-FBA1,1,WOOLDUV200S,79.99,43.99,,,,,,,,
WOOLDUV200SK,1,WOOLDUV200SK,119.99,69.99,,,,,,,,
WOOLDUV200SK-FBA1,1,WOOLDUV200SK,119.99,74.9,,,,,,,,
WOOLDUV400D,1,WOOLDUV400D,99.99,59.99,,,,,,,,
WOOLDUV400D-FBA,1,WOOLDUV400D,99.99,64.9,,,,,,,,
WOOLDUV400K,1,WOOLDUV400K,119.99,74.99,,,,,,,,
WOOLDUV400K-FBA,1,WOOLDUV400K,119.99,78.9,,,,,,,,
WOOLDUV400S,1,WOOLDUV400S,89.99,49.99,,,,,,,,
WOOLDUV400S-FBA,1,WOOLDUV400S,89.99,54.9,,,,,,,,
WOOLDUV400SK,1,WOOLDUV400SK,129.99,84.99,,,,,,,,
WOOLDUV400SK-FBA,1,WOOLDUV400SK,129.99,88.9,,,,,,,,
DUHF15SUPERKING1,1,DUHF15SUPERKING,29.99,21.99,,,,,,,,
DUHF15SUPERKING1_FBA,1,DUHF15SUPERKING,29.99,26.99,,,,,,,,
DUHFPC15SING,1,DUHFPC15SING,21.99,14.99,,,,,,,,
DUHFPC15SING,2,DUHFPC15SING,,,,,,,,,,
DUHFPC15SING,3,DUHFPC15SING,,,,,,,,,,
